id,label,parentId
Akola,Akola,Ahmednagar
Jamkhed,Jamkhed,Ahmednagar
Karjat,Karjat,Ahmednagar
Kopargaon,Kopargaon,Ahmednagar
Nagar,Nagar,Ahmednagar
Nevasa,Nevasa,Ahmednagar
Parner,Parner,Ahmednagar
Pathardi,Pathardi,Ahmednagar
Rahta,Rahta,Ahmednagar
Rahuri,Rahuri,Ahmednagar
Sangamner,Sangamner,Ahmednagar
Shevgaon,Shevgaon,Ahmednagar
Shrigonda,Shrigonda,Ahmednagar
Shrirampur,Shrirampur,Ahmednagar
Akola,Akola,Akola
Akot,Akot,Akola
Balapur,Balapur,Akola
Barshitakli,Barshitakli,Akola
Murtijapur,Murtijapur,Akola
Patur,Patur,Akola
Telhara,Telhara,Akola
Achalpur,Achalpur,Amravati
Amravati,Amravati,Amravati
Anjangaon Surji,Anjangaon Surji,Amravati
Bhatkuli,Bhatkuli,Amravati
Chandurbazar,Chandurbazar,Amravati
Chandur Railway,Chandur Railway,Amravati
Chikhaldara,Chikhaldara,Amravati
Daryapur,Daryapur,Amravati
Dhamangaon Railway,Dhamangaon Railway,Amravati
Dharni,Dharni,Amravati
Morshi,Morshi,Amravati
Nandgaon-Khandeshwar,Nandgaon-Khandeshwar,Amravati
Teosa,Teosa,Amravati
Warud,Warud,Amravati
Aurangabad,Aurangabad,Aurangabad
Gangapur,Gangapur,Aurangabad
Kannad,Kannad,Aurangabad
Khuldabad,Khuldabad,Aurangabad
Paithan,Paithan,Aurangabad
Phulambri,Phulambri,Aurangabad
Sillod,Sillod,Aurangabad
Soegaon,Soegaon,Aurangabad
Vaijapur,Vaijapur,Aurangabad
Ambejogai,Ambejogai,Beed
Ashti,Ashti,Beed
Bid,Bid,Beed
Dharur,Dharur,Beed
Georai,Georai,Beed
Kaij,Kaij,Beed
Manjlegaon,Manjlegaon,Beed
Parli,Parli,Beed
Patoda,Patoda,Beed
Shirur (Kasar),Shirur (Kasar),Beed
Wadwani,Wadwani,Beed
Bhandara,Bhandara,Bhandara
Lakhandur,Lakhandur,Bhandara
Lakhani,Lakhani,Bhandara
Mohadi,Mohadi,Bhandara
Pauni,Pauni,Bhandara
Sakoli,Sakoli,Bhandara
Tumsar,Tumsar,Bhandara
Buldana,Buldana,Buldhana
Chikhli,Chikhli,Buldhana
Deolgaon Raja,Deolgaon Raja,Buldhana
Jalgaon (Jamod),Jalgaon (Jamod),Buldhana
Khamgaon,Khamgaon,Buldhana
Lonar,Lonar,Buldhana
Malkapur,Malkapur,Buldhana
Mehkar,Mehkar,Buldhana
Motala,Motala,Buldhana
Nandura,Nandura,Buldhana
Sangrampur,Sangrampur,Buldhana
Shegaon,Shegaon,Buldhana
Sindkhed Raja,Sindkhed Raja,Buldhana
Ballarpur,Ballarpur,Chandrapur
Bhadravati,Bhadravati,Chandrapur
Brahmapuri,Brahmapuri,Chandrapur
Chandrapur,Chandrapur,Chandrapur
Chimur,Chimur,Chandrapur
Gondpipri,Gondpipri,Chandrapur
Jiwati,Jiwati,Chandrapur
Korpana,Korpana,Chandrapur
Mul,Mul,Chandrapur
Nagbhir,Nagbhir,Chandrapur
Pombhurna,Pombhurna,Chandrapur
Rajura,Rajura,Chandrapur
Sawali,Sawali,Chandrapur
Sindewahi,Sindewahi,Chandrapur
Warora,Warora,Chandrapur
Dhule,Dhule,Dhule
Sakri,Sakri,Dhule
Shirpur,Shirpur,Dhule
Sindkhede,Sindkhede,Dhule
Aheri,Aheri,Gadchiroli
Armori,Armori,Gadchiroli
Bhamragad,Bhamragad,Gadchiroli
Chamorshi,Chamorshi,Gadchiroli
Desaiganj (Vadasa),Desaiganj (Vadasa),Gadchiroli
Dhanora,Dhanora,Gadchiroli
Etapalli,Etapalli,Gadchiroli
Gadchiroli,Gadchiroli,Gadchiroli
Korchi,Korchi,Gadchiroli
Kurkheda,Kurkheda,Gadchiroli
Mulchera,Mulchera,Gadchiroli
Sironcha,Sironcha,Gadchiroli
Amgaon,Amgaon,Gondia
Arjuni Morgaon,Arjuni Morgaon,Gondia
Deori,Deori,Gondia
Gondiya,Gondiya,Gondia
Goregaon,Goregaon,Gondia
Sadak-Arjuni,Sadak-Arjuni,Gondia
Salekasa,Salekasa,Gondia
Tirora,Tirora,Gondia
Aundha (Nagnath),Aundha (Nagnath),Hingoli
Basmath,Basmath,Hingoli
Hingoli,Hingoli,Hingoli
Kalamnuri,Kalamnuri,Hingoli
Sengaon,Sengaon,Hingoli
Amalner,Amalner,Jalgaon
Bhadgaon,Bhadgaon,Jalgaon
Bhusawal,Bhusawal,Jalgaon
Bodvad,Bodvad,Jalgaon
Chalisgaon,Chalisgaon,Jalgaon
Chopda,Chopda,Jalgaon
Dharangaon,Dharangaon,Jalgaon
Erandol,Erandol,Jalgaon
Jalgaon,Jalgaon,Jalgaon
Jamner,Jamner,Jalgaon
Muktainagar (Edlabad),Muktainagar (Edlabad),Jalgaon
Pachora,Pachora,Jalgaon
Parola,Parola,Jalgaon
Raver,Raver,Jalgaon
Yawal,Yawal,Jalgaon
Ambad,Ambad,Jalna
Badnapur,Badnapur,Jalna
Bhokardan,Bhokardan,Jalna
Ghansawangi,Ghansawangi,Jalna
Jafferabad,Jafferabad,Jalna
Jalna,Jalna,Jalna
Mantha,Mantha,Jalna
Partur,Partur,Jalna
Ajra,Ajra,Kolhapur
Bavda,Bavda,Kolhapur
Bhudargad,Bhudargad,Kolhapur
Chandgad,Chandgad,Kolhapur
Gadhinglaj,Gadhinglaj,Kolhapur
Hatkanangle,Hatkanangle,Kolhapur
Kagal,Kagal,Kolhapur
Karvir,Karvir,Kolhapur
Panhala,Panhala,Kolhapur
Radhanagari,Radhanagari,Kolhapur
Shahuwadi,Shahuwadi,Kolhapur
Shirol,Shirol,Kolhapur
Ahmadpur,Ahmadpur,Latur
Ausa,Ausa,Latur
Chakur,Chakur,Latur
Deoni,Deoni,Latur
Jalkot,Jalkot,Latur
Latur,Latur,Latur
Nilanga,Nilanga,Latur
Renapur,Renapur,Latur
Shirur-Anantpal,Shirur-Anantpal,Latur
Udgir,Udgir,Latur
Bhiwapur,Bhiwapur,Nagpur
Hingna,Hingna,Nagpur
Kalameshwar,Kalameshwar,Nagpur
Kamptee,Kamptee,Nagpur
Katol,Katol,Nagpur
Kuhi,Kuhi,Nagpur
Mauda,Mauda,Nagpur
Nagpur (Rural),Nagpur (Rural),Nagpur
Nagpur (Urban),Nagpur (Urban),Nagpur
Narkhed,Narkhed,Nagpur
Parseoni,Parseoni,Nagpur
Ramtek,Ramtek,Nagpur
Savner,Savner,Nagpur
Umred,Umred,Nagpur
Ardhapur,Ardhapur,Nanded
Bhokar,Bhokar,Nanded
Biloli,Biloli,Nanded
Deglur,Deglur,Nanded
Dharmabad,Dharmabad,Nanded
Hadgaon,Hadgaon,Nanded
Himayatnagar,Himayatnagar,Nanded
Kandhar,Kandhar,Nanded
Kinwat,Kinwat,Nanded
Loha,Loha,Nanded
Mahoor,Mahoor,Nanded
Mudkhed,Mudkhed,Nanded
Mukhed,Mukhed,Nanded
Naigaon (Khairgaon),Naigaon (Khairgaon),Nanded
Nanded,Nanded,Nanded
Umri,Umri,Nanded
Akkalkuwa,Akkalkuwa,Nandurbar
Akrani,Akrani,Nandurbar
Nandurbar,Nandurbar,Nandurbar
Nawapur,Nawapur,Nandurbar
Shahade,Shahade,Nandurbar
Talode,Talode,Nandurbar
Baglan,Baglan,Nashik
Chandvad,Chandvad,Nashik
Deola,Deola,Nashik
Dindori,Dindori,Nashik
Igatpuri,Igatpuri,Nashik
Kalwan,Kalwan,Nashik
Malegaon,Malegaon,Nashik
Nandgaon,Nandgaon,Nashik
Nashik,Nashik,Nashik
Niphad,Niphad,Nashik
Peth,Peth,Nashik
Sinnar,Sinnar,Nashik
Surgana,Surgana,Nashik
Trimbakeshwar,Trimbakeshwar,Nashik
Yevla,Yevla,Nashik
Bhum,Bhum,Osmanabad
Kalamb,Kalamb,Osmanabad
Lohara,Lohara,Osmanabad
Osmanabad,Osmanabad,Osmanabad
Paranda,Paranda,Osmanabad
Tuljapur,Tuljapur,Osmanabad
Umarga,Umarga,Osmanabad
Washi,Washi,Osmanabad
Dahanu,Dahanu,Palghar
Jawhar,Jawhar,Palghar
Mokhada,Mokhada,Palghar
Palghar,Palghar,Palghar
Talasari,Talasari,Palghar
Vada,Vada,Palghar
Vasai,Vasai,Palghar
Vikramgad,Vikramgad,Palghar
Gangakhed,Gangakhed,Parbhani
Jintur,Jintur,Parbhani
Manwath,Manwath,Parbhani
Palam,Palam,Parbhani
Parbhani,Parbhani,Parbhani
Pathri,Pathri,Parbhani
Purna,Purna,Parbhani
Sailu,Sailu,Parbhani
Sonpeth,Sonpeth,Parbhani
Ambegaon,Ambegaon,Pune
Baramati,Baramati,Pune
Bhor,Bhor,Pune
Daund,Daund,Pune
Haveli,Haveli,Pune
Indapur,Indapur,Pune
Junnar,Junnar,Pune
Khed,Khed,Pune
Mawal,Mawal,Pune
Mulshi,Mulshi,Pune
Pune City,Pune City,Pune
Purandhar,Purandhar,Pune
Shirur,Shirur,Pune
Velhe,Velhe,Pune
Alibag,Alibag,Raigad
Karjat,Karjat,Raigad
Khalapur,Khalapur,Raigad
Mahad,Mahad,Raigad
Mangaon,Mangaon,Raigad
Mhasla,Mhasla,Raigad
Murud,Murud,Raigad
Panvel,Panvel,Raigad
Pen,Pen,Raigad
Poladpur,Poladpur,Raigad
Roha,Roha,Raigad
Shrivardhan,Shrivardhan,Raigad
Sudhagad,Sudhagad,Raigad
Tala,Tala,Raigad
Uran,Uran,Raigad
Chiplun,Chiplun,Ratnagiri
Dapoli,Dapoli,Ratnagiri
Guhagar,Guhagar,Ratnagiri
Khed,Khed,Ratnagiri
Lanja,Lanja,Ratnagiri
Mandangad,Mandangad,Ratnagiri
Rajapur,Rajapur,Ratnagiri
Ratnagiri,Ratnagiri,Ratnagiri
Sangameshwar,Sangameshwar,Ratnagiri
Atpadi,Atpadi,Sangli
Jat,Jat,Sangli
Kadegaon,Kadegaon,Sangli
Kavathemahankal,Kavathemahankal,Sangli
Khanapur,Khanapur,Sangli
Miraj,Miraj,Sangli
Palus,Palus,Sangli
Shirala,Shirala,Sangli
Tasgaon,Tasgaon,Sangli
Walwa,Walwa,Sangli
Jaoli,Jaoli,Satara
Karad,Karad,Satara
Khandala,Khandala,Satara
Khatav,Khatav,Satara
Koregaon,Koregaon,Satara
Mahabaleshwar,Mahabaleshwar,Satara
Man,Man,Satara
Patan,Patan,Satara
Phaltan,Phaltan,Satara
Satara,Satara,Satara
Wai,Wai,Satara
Devgad,Devgad,Sindhudurg
Dodamarg,Dodamarg,Sindhudurg
Kankavli,Kankavli,Sindhudurg
Kudal,Kudal,Sindhudurg
Malwan,Malwan,Sindhudurg
Sawantwadi,Sawantwadi,Sindhudurg
Vaibhavvadi,Vaibhavvadi,Sindhudurg
Vengurla,Vengurla,Sindhudurg
Akkalkot,Akkalkot,Solapur
Barshi,Barshi,Solapur
Karmala,Karmala,Solapur
Madha,Madha,Solapur
Malshiras,Malshiras,Solapur
Mangalvedhe,Mangalvedhe,Solapur
Mohol,Mohol,Solapur
Pandharpur,Pandharpur,Solapur
Sangole,Sangole,Solapur
Solapur North,Solapur North,Solapur
Solapur South,Solapur South,Solapur
Ambarnath,Ambarnath,Thane
Bhiwandi,Bhiwandi,Thane
Kalyan,Kalyan,Thane
Murbad,Murbad,Thane
Shahapur,Shahapur,Thane
Thane,Thane,Thane
Ulhasnagar,Ulhasnagar,Thane
Arvi,Arvi,Wardha
Ashti,Ashti,Wardha
Deoli,Deoli,Wardha
Hinganghat,Hinganghat,Wardha
Karanja,Karanja,Wardha
Samudrapur,Samudrapur,Wardha
Seloo,Seloo,Wardha
Wardha,Wardha,Wardha
Karanja,Karanja,Washim
Malegaon,Malegaon,Washim
Mangrulpir,Mangrulpir,Washim
Manora,Manora,Washim
Risod,Risod,Washim
Washim,Washim,Washim
Arni,Arni,Yavatmal
Babulgaon,Babulgaon,Yavatmal
Darwha,Darwha,Yavatmal
Digras,Digras,Yavatmal
Ghatanji,Ghatanji,Yavatmal
Kalamb,Kalamb,Yavatmal
Kelapur,Kelapur,Yavatmal
Mahagaon,Mahagaon,Yavatmal
Maregaon,Maregaon,Yavatmal
Ner,Ner,Yavatmal
Pusad,Pusad,Yavatmal
Ralegaon,Ralegaon,Yavatmal
Umarkhed,Umarkhed,Yavatmal
Wani,Wani,Yavatmal
Yavatmal,Yavatmal,Yavatmal
Zari-Jamani,Zari-Jamani,Yavatmal
